Player,Team,Position,points
Van Jefferson,PS,WR,12
Russell Wilson,PS,QB,12
George Pickens,PS,WR,18
Calvin Austin III,PS,WR,30
Justin Fields,PS,QB,30
Najee Harris,PS,RB,36
Pat Freiermuth,PS,TE,42
Chris Boswell,PS,K,158
Mitch Wishnowsky,SF49,P,3
Deommodore Lenoir,SF49,RLB,6
Eric Saubert,SF49,TE,6
Patrick Taylor,SF49,RB,6
Fred Warner,SF49,MLB,6
Matthew Wright,SF49,K,12
Joshua Dobbs,SF49,QB,12
Anders Carlson,SF49,K,18
Kyle Juszczyk,SF49,FB,18
Jordan Mason,SF49,RB,18
Ricky Pearsall,SF49,WR,18
Isaac Guerendo,SF49,RB,24
Deebo Samuel,SF49,WR,24
Brock Purdy,SF49,QB,30
Jauan Jennings,SF49,WR,36
George Kittle,SF49,TE,48
Jake Moody,SF49,K,104
Dre'Mont Jones,SS,LB,2
Jake Bobo,SS,WR,6
Coby Bryant,SS,SS,6
Noah Fant,SS,TE,6
Derick Hall,SS,RILB,6
Rayshawn Jenkins,SS,SS,6
Laviska Shenault Jr.,SS,WR,6
Leonard Williams,SS,LDE,6
Tyler Lockett,SS,WR,12
Geno Smith,SS,QB,12
AJ Barner,SS,TE,24
D.K. Metcalf,SS,WR,30
Jaxon Smith-Njigba,SS,WR,36
Kenneth Walker III,SS,RB,48
Zach Charbonnet,SS,RB,54
Jason Myers,SS,K,115
Trey Palmer,TBB,WR,6
J.J. Russell,TBB,LB,6
Antoine Winfield Jr.,TBB,SS,6
Sterling Shepard,TBB,WR,8
Payne Durham,TBB,TE,12
Ryan Miller,TBB,WR,12
Baker Mayfield,TBB,QB,18
Sean Tucker,TBB,RB,18
Cade Otton,TBB,TE,24
Chris Godwin,TBB,WR,30
Bucky Irving,TBB,RB,48
Jalen McMillan,TBB,WR,48
Rachaad White,TBB,RB,54
Mike Evans,TBB,WR,66
Chase McLaughlin,TBB,K,144
Harold Landry,TT,ROLB,2
Brayden Narveson,TT,K,2
DeAndre Hopkins,TT,WR,6
Tay Martin,TT,WR,6
Mason Rudolph,TT,QB,6
Josh Whyle,TT,TE,8
Matthew Wright,TT,K,13
Chigoziem Okonkwo,TT,TE,14
Nick Vannett,TT,TE,18
Calvin Ridley,TT,WR,30
Tyjae Spears,TT,RB,30
Tony Pollard,TT,RB,32
Nick Westbrook-Ikhine,TT,WR,54
Nick Folk,TT,K,88
Cade York,WC,K,2
Marcus Mariota,WC,QB,6
Ben Sinnott,WC,TE,6
Trenton Scott,WC,T,6
Dyami Brown,WC,WR,6
Dante Fowler,WC,LLB,6
Noah Brown,WC,WR,6
Greg Joseph,WC,K,8
Jamison Crowder,WC,WR,12
Chris Rodriguez,WC,RB,12
Olamide Zaccheaus,WC,WR,18
Austin Ekeler,WC,RB,24
Jeremy McNichols,WC,RB,26
Zane Gonzalez,WC,K,34
Jayden Daniels,WC,QB,38
Zach Ertz,WC,TE,46
Brian Robinson Jr.,WC,RB,48
Terry McLaurin,WC,WR,78

Austin Seibert,WC,K,103
