spotify ranking,number of total streams,name of song
221,"143,329,713",Bad Blood (Taylor's Version)
222,"143,011,137",it’s time to go - bonus track
223,"142,979,512",Forever & Always (Taylor’s Version)
224,"142,285,739",Fearless
225,"141,428,941",Begin Again
226,"140,852,145",Ruin The Friendship
227,"140,260,295",Speak Now (Taylor's Version)
228,"140,110,185",Treacherous (Taylor's Version)
229,"139,838,702",The Story Of Us (Taylor's Version)
230,"138,738,412",Crazier
231,"137,735,878",Only The Young - Featured in Miss Americana
232,"136,041,088",Last Kiss
233,"135,459,154",The Albatross
234,"134,389,493",Mean (Taylor's Version)
235,"131,543,188",Bad Blood (feat. Kendrick Lamar) (Taylor's Version)
236,"130,613,257",I Wish You Would (Taylor's Version)
237,"130,111,801",You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)
238,"130,039,834",Foolish One (Taylor’s Version) (From The Vault)
239,"129,560,773",Sad Beautiful Tragic (Taylor's Version)
240,"128,852,787",Fifteen
241,"128,719,110",Fifteen (Taylor’s Version)
242,"127,801,773",thanK you aIMee
243,"126,940,076",Last Kiss (Taylor's Version)
244,"124,428,043",Honey
245,"122,469,987",Timeless (Taylor’s Version) (From The Vault)
246,"122,424,640",White Horse
247,"122,167,527",I Look in People's Windows
248,"120,450,995",* Babe
249,"120,166,708",Haunted (Taylor's Version)
250,"120,048,702",I Almost Do (Taylor's Version)
251,"118,297,393",Forever Winter (Taylor's Version) (From The Vault)
252,"118,000,246",This Love
253,"117,453,709",Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault)
254,"115,852,220",Cassandra
255,"115,649,529",Haunted
256,"115,329,028",How You Get The Girl (Taylor's Version)
257,"115,323,475",Wonderland (Taylor's Version)
258,"115,157,578",Hey Stephen (Taylor’s Version)
259,"113,909,602",Long Live
260,"113,538,164",Holy Ground (Taylor's Version)
261,"112,760,980",I Know Places (Taylor's Version)
262,"112,280,816",Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault)
263,"111,058,980",Karma (feat. Ice Spice)
264,"110,173,913",Stay Stay Stay (Taylor's Version)
265,"106,785,666",When Emma Falls in Love (Taylor’s Version) (From The Vault)
266,"99,040,933",The Manuscript
267,"97,883,607",That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault)
268,"97,400,079",The Lucky One (Taylor's Version)
269,"96,922,748",Never Grow Up
270,"94,740,122",You’re Not Sorry (Taylor’s Version)
271,"93,719,371",* The Alcott (feat. Taylor Swift)
272,"93,634,624",The Other Side Of The Door (Taylor’s Version)
273,"91,962,350",The Moment I Knew (Taylor's Version)
274,"91,059,961",If This Was A Movie (Taylor’s Version)
275,"90,787,119",Starlight (Taylor's Version)
276,"90,780,497",Carolina - From The Motion Picture “Where The Crawdads Sing”
277,"89,926,589",Don’t You (Taylor’s Version) (From The Vault)
278,"87,594,220",Robin
279,"84,579,669",Breathe (feat. Colbie Caillat) (Taylor’s Version)
280,"84,325,793",* Both of Us (feat. Taylor Swift)
281,"84,002,035",Never Grow Up (Taylor's Version)
282,"83,468,963",* Gasoline (feat. Taylor Swift)
283,"80,632,091",Back To December - Acoustic
284,"80,617,864",Cornelia Street - Live From Paris
